Quadrant,Game,Mobile Engagement,PC Engagement,Console Engagement,Monetization Model,Genre,Android Publisher Trends,iOS Publisher Trends
Stars,Tactical Strike,High,Medium,Low,In-app Purchases,Action,Growing,Growing
Stars,Tini Minies,High,Low,None,Ads,Puzzle,Stable,Growing
Stars,Last Day On Earth,High,High,Medium,In-app Purchases,Survival,Growing,Growing
Stars,Destiny Of Armor,High,Medium,Medium,Subscription,Strategy,Growing,Stable
Cash Cow,Sakkat Baloot,High,None,None,In-app Purchases,Card,Growing,Stable
Cash Cow,LUDO LAND,High,Low,None,Ads,Board,Growing,Growing
Herd,WIZZO Application,High,Medium,Low,Subscription,Social,Stable,Stable
Herd,Abou Ashraf,Medium,Low,None,Ads,Role-playing,Stable,Declining
Herd,Madam Afaf,Medium,Low,None,Ads,Casual,Declining,Declining
Herd,Fananees,High,Medium,Low,In-app Purchases,Arcade,Growing,Growing
Herd,Faqaqees,Medium,Low,None,Ads,Casual,Stable,Stable
Rocks,Street Fighter,Medium,High,High,In-app Purchases,Fighting,Stable,Declining
Rocks,Road Racing,Medium,Low,None,Ads,Racing,Declining,Declining
Rocks,Victoria Football,High,Low,None,Ads,Sports,Growing,Declining
Rocks,Snatch X,Medium,Medium,Low,In-app Purchases,Action,Declining,Declining
Borderline,Kingdom Of Glory,Medium,High,Medium,In-app Purchases,Strategy,Growing,Stable
Borderline,Desert Warrior,Medium,Medium,Low,Subscription,Action,Stable,Declining
